edrpou,org_id,reg_date,full_name,address,head,r_code,region,activity,bankruptcy
00012256,NA,NA,"УКРАЇНСЬКА ДК ПО ВИКОНАННЮ МОНТАЖНИХ І СПЕЦІАЛЬНИХ БУДІВЕЛЬНИХ РОБІТ ""УКРМОНТАЖСПЕЦБУД""","1034 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ПРОРІЗНА, 15","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО ВИКОНАННЮ МОНТАЖНИХ І СПЕЦІАЛЬНИХ БУДІВЕЛЬНИХ РОБІТ ""УКРМОНТАЖСПЕЦБУД""",UA-30,Київ,Будівництво житлових і нежитлових будівель,зареєстровано
00015332,121678610,2016-05-31,"УКРАЇНСЬКЕ НАЦІОНАЛЬНЕ ІНФОРМАЦІЙНЕ АГЕНТСТВО ""УКРІНФОРМ""","1001 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, 8/16",МІНІСТЕРСТВО ІНФОРМАЦІЙНОЇ ПОЛІТИКИ УКРАЇНИ,UA-30,Київ,Державне управління загального характеру,зареєстровано
00018201,NA,NA,"ПАТ ""УКРНАФТОПРОДУКТ""","М.КИЇВ,ВУЛ.ІВАНА ФРАНКА, 6",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-30,Київ,Діяльність головних управлінь (хед-офісів),зареєстровано
00026867,NA,NA,"УКРАЇНСЬКА ДЕРЖАВНА БУДІВЕЛЬНА КОРПОРАЦІЯ ""УКРБУД""","2002 М.КИЇВ, ДНІПРОВСЬКИЙ Р-Н, ВУЛИЦЯ МАРИНИ РАСКОВОЇ, 23","УКРАЇНСЬКА ДЕРЖАВНА БУДІВЕЛЬНА КОРПОРАЦІЯ ""УКРБУД""",UA-30,Київ,Консультування з питань комерційної діяльності й керування,зареєстровано
00032112,10149200,2016-03-31,"ПАТ ""ДЕРЖАВНИЙ ЕКСПОРТНО-ІМПОРТНИЙ БАНК УКРАЇНИ""","3150 М.КИЇВ, ГОЛОСІЇВСЬКИЙ Р-Н, ВУЛИЦЯ ГОРЬКОГО, 127",КАБІНЕТ МІНІСТРІВ УКРАЇНИ,UA-30,Київ,Інші види грошового посередництва,зареєстровано
00032129,11210095,2016-03-31,"ПАТ ""ДЕРЖАВНИЙ ОЩАДНИЙ БАНК УКРАЇНИ""","1001 М.КИЇВ, ПЕЧЕРСЬКИЙ Р-Н, ВУЛИЦЯ ГОСПІТАЛЬНА, 12-Г",КАБІНЕТ МІНІСТРІВ УКРАЇНИ,UA-30,Київ,Інші види грошового посередництва,зареєстровано
00034861,NA,NA,"УКРАЇНСЬКА ДК ПО ТРАНСПОРТНОМУ БУДІВНИЦТВУ ""УКРТРАНСБУД""","3049 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ВУЛИЦЯ БОГДАНІВСЬКА, 3","УКРАЇНСЬКА ДЕРЖАВНА КОРПОРАЦІЯ ПО ТРАНСПОРТНОМУ БУДІВНИЦТВУ ""УКРТРАНСБУД""",UA-30,Київ,Курирування діяльності у сфері економіки,в стані припинення
00036044,NA,NA,"ДАК ""УКРРЕСУРСИ""","М.КИЇВ,ПРОВУЛ.МУЗЕЙНИЙ,10",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-30,Київ,Діяльність головних управлінь (хед-офісів),в стані припинення
00041467,NA,NA,ДЕРЖАВНА ІННОВАЦІЙНА ФІНАНСОВО-КРЕДИТНА УСТАНОВА,"1601 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, 65-Б",МІНІСТЕРСТВО ЕКОНОМІЧНОГО РОЗВИТКУ І ТОРГІВЛІ УКРАЇНИ,UA-30,Київ,"Трасти, фонди та подібні фінансові суб'єкти",зареєстровано
00100227,23288663,2016-03-31,"ДП ""НАЦІОНАЛЬНА ЕНЕРГЕТИЧНА КОМПАНІЯ ""УКРЕНЕРГО""","1032 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ СИМОНА ПЕТЛЮРИ, 25",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,Передача електроенергії,зареєстровано
00113968,161719383,2016-07-31,"ДП ""КИЇВСЬКИЙ ІНСТИТУТ ІНЖЕНЕРНИХ ВИШУКУВАНЬ І ДОСЛІДЖЕНЬ ""ЕНЕРГОПРОЕКТ""","1135 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ПРОСПЕКТ ПЕРЕМОГИ, 4",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
00113980,133548563,2016-06-30,"УКРАЇНСЬКИЙ ПРОЕКТНИЙ І КОНСТРУКТОРСЬКО-ТЕХНОЛОГІЧНИЙ ІНСТИТУТ ""АТОМЕНЕРГОБУДПРОЕКТ""","3110 М.КИЇВ, СОЛОМ'ЯНСЬКИЙ Р-Н, ВУЛИЦЯ СОЛОМ'ЯНСЬКА, 5",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
00114092,NA,NA,"ДЕРЖАВНИЙ ПРОЕКТНО-ВИШУКУВАЛЬНИЙ ТА НДІ ""УКРЕНЕРГОМЕРЕЖПРОЕКТ""","61050 М.ХАРКІВ, ЧЕРВОНОЗАВОДСЬКИЙ Р-Н, НАБЕРЕЖНА ЧЕРВОНОШКІЛЬНА, 2",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-63,Харківська,Діяльність у сфері архітектури,зареєстровано
00116903,NA,NA,ДП ПЕРЕСУВНА МЕХАНІЗОВАНА КОЛОНА № 256,"86020 ДОНЕЦЬКА ОБЛ., ЯСИНУВАТСЬКИЙ Р-Н, СМТ ОЧЕРЕТИНЕ, ПРОСПЕКТ ПОШТОВИЙ, АБК",ДЕРЖАВНЕ АГЕНТСТВО ВОДНИХ РЕСУРСІВ УКРАЇНИ,UA-14,ОРДЛО,"Будівництво магістральних трубопроводів, ліній зв'язку та енергопостачання",в стані припинення
00130044,249962976,2016-08-31,"ДП ""ЛЬВІВСЬКЕ КОНСТРУКТОРСЬКЕ БЮРО""","79060 М.ЛЬВІВ, ФРАНКІВСЬКИЙ Р-Н, ВУЛИЦЯ НАУКОВА, 5",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-46,Львівська,Технічні випробування та дослідження,зареєстровано
00130441,171992471,2016-07-31,"ДП ""НДІ ВИСОКИХ НАПРУГ""","84121 ДОНЕЦЬКА ОБЛ., М.СЛОВ'ЯНСЬК, ВУЛИЦЯ ГЕНЕРАЛА БАТЮКА, 22",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-14,Донецька,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,порушено справу про банкрутство
00130725,361977160,2016-11-30,"ВАТ ""ТЕРНОПІЛЬОБЛЕНЕРГО""","М.ТЕРНОПІЛЬ, ВУЛ.ЕНЕРГЕТИЧНА, 2",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-61,Тернопільська,Розподілення електроенергії,зареєстровано
00130820,355403976,2016-11-30,"ПАТ ""ДНІПРОДЗЕРЖИНСЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","ДНІПРОПЕТРОВСЬКА ОБЛ., М. ДНІПРОДЗЕРЖИНСЬК, ВУЛ. РАДЯНСЬКА, БУД. 2",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-12,Дніпропетровська,Виробництво електроенергії,порушено справу про банкрутство
00130850,16665922,2016-03-31,"ДП ""КРИВОРІЗЬКА ТЕПЛОЦЕНТРАЛЬ""","50014 ДНІПРОПЕТРОВСЬКА ОБЛ., М.КРИВИЙ РІГ, ЖОВТНЕВИЙ Р-Н, ВУЛИЦЯ ЕЛЕКТРИЧНА, 1",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-12,Дніпропетровська,"Постачання пари, гарячої води та кондиційованого повітря",зареєстровано
00130926,28555281,2016-03-31,"ВАТ ""ЗАПОРІЖЖЯОБЛЕНЕРГО""","ЗАПОРІЗЬКА ОБЛ., М.ЗАПОРІЖЖЯ, ВУЛ.СТАЛЕВАРІВ, БУД. 14",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-23,Запорізька,Розподілення електроенергії,зареєстровано
00131050,124581447,2016-05-31,"ДП ""СЄВЄРОДОНЕЦЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","93403 ЛУГАНСЬКА ОБЛ., М.СЄВЄРОДОНЕЦЬК, СЄВЄРОДОНЕЦЬКА ТЕЦ",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-09,Луганська,Виробництво електроенергії,порушено справу про банкрутство
00131067,NA,NA,"ДП ""ЛИСИЧАНСЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","93105 ЛУГАНСЬКА ОБЛ., М.ЛИСИЧАНСЬК, ВУЛИЦЯ ЕНЕРГЕТИКІВ, 98",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-09,Луганська,Виробництво електроенергії,в стані припинення
00131771,119905371,2016-05-31,"ПАТ ""ХЕРСОНСЬКА ТЕПЛОЕЛЕКТРОЦЕНТРАЛЬ""","ХЕРСОНСЬКА ОБЛ., М. ХЕРСОН, БЕРИСЛАВСЬКЕ ШОСЕ, БУД. 1",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-65,Херсонська,"Постачання пари, гарячої води та кондиційованого повітря",зареєстровано
00131954,363093262,2016-11-30,"АКЦІОНЕРНА КОМПАНІЯ ""ХАРКІВОБЛЕНЕРГО""","ХАРКІВСЬКА ОБЛ., М. ХАРКІВ, КОМІНТЕРНІВСЬКИЙ РАЙОН, ВУЛ.ПЛЕХАНІВСЬКА,149",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,UA-63,Харківська,Розподілення електроенергії,зареєстровано
00132842,NA,NA,"ДП З КОМПЛЕКТНОЇ ПОСТАВКИ УСТАТКУВАННЯ ""УКРЕНЕРГОКОМПЛЕКТ""","4112 М.КИЇВ, ШЕВЧЕНКІВСЬКИЙ Р-Н, ВУЛИЦЯ ДОРОГОЖИЦЬКА, 11/8",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-30,Київ,"Діяльність посередників у торгівлі машинами, промисловим устаткованням, суднами та літаками",зареєстровано
00147921,NA,NA,"ДП ""ПОЛТАВСЬКЕ УПРАВЛІННЯ ГЕОФІЗИЧНИХ РОБІТ""","36007 М.ПОЛТАВА, КИЇВСЬКИЙ Р-Н, ВУЛИЦЯ ЗАВОДСЬКА, 16",МІНІСТЕРСТВО ЕНЕРГЕТИКИ ТА ВУГІЛЬНОЇ ПРОМИСЛОВОСТІ УКРАЇНИ,UA-53,Полтавська,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих",зареєстровано
