edrpou,org_id,reg_date,full_name,edrpou_name,head,hd_nm,r_code,region,addr,activity,kved_orig,kved_10_gr,kved_10_nm,bankruptcy,nm_fl,nm_sh,kved,status
00191508,0,NA,"ВАТ ""КАМИШ-БУРУНСЬКИЙ ЗАЛІЗОРУДНИЙ КОМБІНАТ""","""КАМИШ-БУРУНСЬКИЙ ЗАЛІЗОРУДНИЙ КОМБІНАТ""",ФОНД МАЙНА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,КОНЦЕВОЙ КОСТЯНТИН ІВАНОВИЧ,UA-01,АР Крим,"98313, Автономна Республіка Крим, місто Керч, ВУЛИЦЯ ОРДЖОНІКІДЗЕ, будинок 12",Організація будівництва будівель,41.10,41,будівництво і нерухомість,в стані припинення,"""КАМИШ-БУРУНСЬКИЙ ЗАЛІЗОРУДНИЙ КОМБІНАТ""","ВАТ ""КБ ЗРК""",41.10 Організація будівництва будівель,в стані припинення
00231878,0,NA,"ПУБЛІЧНЕ АТ ""ДЖАНКОЙСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""","ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЖАНКОЙСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""",ФОНД ДЕРЖАВНОГО МАЙНА УКРАЇНИ,ДЕМЧУК ОЛЕКСАНДР МИКОЛАЙОВИЧ,UA-01,АР Крим,"01601, м.Київ, Печерський район, ВУЛИЦЯ  КУТУЗОВА, будинок 18/9",Виробництво машин і устатковання для сільського та лісового господарства,28.30,28,виробництво,порушено справу про банкрутство (санація),"ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО ""ДЖАНКОЙСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""","ПАТ ""ДМЗ""",28.30 Виробництво машин і устатковання для сільського та лісового господарства,порушено справу про банкрутство (санація)
00334824,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОСЛІДНЕ ГОСПОДАРСТВО ""СТЕПОВЕ"" НАЦІОНАЛЬНОГО ІНСТИТУТУ ВИНОГРАДУ І ВИНА ""МАГАРАЧ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОСЛІДНЕ ГОСПОДАРСТВО ""СТЕПОВЕ"" НАЦІОНАЛЬНОГО ІНСТИТУТУ ВИНОГРАДУ І ВИНА ""МАГАРАЧ""",НАЦІОНАЛЬНА АКАДЕМІЯ АГРАРНИХ НАУК УКРАЇНИ,ЄЛІСЄЄВ ОЛЕКСАНДР МИКОЛАЙОВИЧ,UA-01,АР Крим,"96118, Автономна Республіка Крим, Джанкойський район, село Дмитрівка, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 10",Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,72.19,72,дослідження,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ДОСЛІДНЕ ГОСПОДАРСТВО ""СТЕПОВЕ"" НАЦІОНАЛЬНОГО ІНСТИТУТУ ВИНОГРАДУ І ВИНА ""МАГАРАЧ""","ДП ДГ ""СТЕПОВЕ"" НІВІВ ""МАГАРАЧ""",72.19 Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,зареєстровано
00411832,0,NA,"""ЛЕНІНСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","""ЛЕНІНСЬКИЙ ВИНОРОБНИЙ ЗАВОД""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,ДАДЕУШ СВІТЛАНА ПАВЛІВНА,UA-01,АР Крим,"98200, Автономна Республіка Крим, Ленінський район, селище міського типу Леніне, ВУЛИЦЯ АЗОВСЬКА, будинок 9",Виробництво виноградних вин,15.93,11,виробництво,в стані припинення,"""ЛЕНІНСЬКИЙ ВИНОРОБНИЙ ЗАВОД""","ДП""ЛЕНІНСЬКИЙ ВИНОРОБНИЙ ЗАВОД""",15.93.0 ВИРОБНИЦТВО ВИНОГРАДНИХ ВИН,в стані припинення
00411849,0,NA,КРАСНОПАРТИЗАНСЬКИЙ ВИНОРОБНИЙ ЗАВОД,КРАСНОПАРТИЗАНСЬКИЙ ВИНОРОБНИЙ ЗАВОД,МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА АВТОНОМНОЇ РЕСПУБЛІКИ КРИМ,КУЧЕРЯВИЙ  МИХАЙЛО ПАВЛОВИЧ,UA-01,АР Крим,"90032, Автономна Республіка Крим, Красногвардійський район, село Красний Партизан, ВУЛИЦЯ ПЕРВОМАЙСЬКА, будинок 1",Виробництво виноградних вин,11.02,11,виробництво,зареєстровано,КРАСНОПАРТИЗАНСЬКИЙ ВИНОРОБНИЙ ЗАВОД,КРАСНОПАРТИЗАНСЬКИЙ ВИНЗАВОД,11.02 Виробництво виноградних вин,зареєстровано
00411890,0,NA,"ДЕРЖАВНИЙ КОНЦЕРН ""НАЦІОНАЛЬНЕ ВИРОБНИЧО-АГРАРНЕ ОБ'ЄДНАННЯ ""МАСАНДРА""","ДЕРЖАВНИЙ КОНЦЕРН ""НАЦІОНАЛЬНЕ ВИРОБНИЧО-АГРАРНЕ ОБ'ЄДНАННЯ ""МАСАНДРА""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,БОЙКО МИКОЛА КОСТЯНТИНОВИЧ,UA-01,АР Крим,"98650, Автономна Республіка Крим, місто Ялта, селище міського типу Масандра, ВУЛИЦЯ МИРУ, будинок 6",Виробництво виноградних вин,11.02,11,виробництво,зареєстровано,"НАЦІОНАЛЬНЕ ВИРОБНИЧО-АГРАРНЕ ОБ'ЄДНАННЯ ""МАСАНДРА""",NA,15.93.0 ВИРОБНИЦТВО ВИНОГРАДНИХ ВИН,припинено
00412665,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗАВОД ШАМПАНСЬКИХ ВИН "" НОВИЙ СВІТ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗАВОД ШАМПАНСЬКИХ ВИН "" НОВИЙ СВІТ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,НЕЗВІСЬКИЙ ДМИТРО ЯРОСЛАВОВИЧ,UA-01,АР Крим,"98032, Автономна Республіка Крим, місто Судак, селище міського типу Новий Світ, ВУЛИЦЯ  ШАЛЯПІНА , будинок 1",Виробництво виноградних вин,11.02,11,виробництво,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ЗАВОД ШАМПАНСЬКИХ ВИН "" НОВИЙ СВІТ""","ДП ""ЗШВ""НОВИЙ СВІТ""",11.02 Виробництво виноградних вин,зареєстровано
00412694,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""АЛУШТА""","ДЕРЖАВНЕ ПІДПРИЄМСТВО  ""АЛУШТА""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,СУСЛЕНКО ДМИТРО ОЛЕКСАНДРОВИЧ,UA-01,АР Крим,"98500, Автономна Республіка Крим, місто Алушта, ПРОВУЛОК ІВАНОВА, будинок 3",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО  ""АЛУШТА""","ДП  ""АЛУШТА""",01.21 Вирощування винограду,зареєстровано
00412719,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МАЛОРІЧЕНСЬКЕ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МАЛОРІЧЕНСЬКЕ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,КУРАКІН АРТЕМ ДМИТРОВИЧ,UA-01,АР Крим,"98520, Автономна Республіка Крим, місто Алушта, село Малоріченське, ВУЛИЦЯ САДОВА, будинок 1 А",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""МАЛОРІЧЕНСЬКЕ""","ДП ""МАЛОРІЧЕНСЬКЕ""",01.21 Вирощування винограду,зареєстровано
00412725,0,NA,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРИВІТНЕ""","ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРИВІТНЕ""",МІНІСТЕРСТВО АГРАРНОЇ ПОЛІТИКИ ТА ПРОДОВОЛЬСТВА УКРАЇНИ,ПАВЛОВ СЕРГІЙ ЛУКИЧ,UA-01,АР Крим,"98521, Автономна Республіка Крим, місто Алушта, село Привітне, ВУЛИЦЯ ЛЕНІНА, будинок 2",Вирощування винограду,01.21,01,сільське і лісове господарство,зареєстровано,"ДЕРЖАВНЕ ПІДПРИЄМСТВО ""ПРИВІТНЕ""","ДП ""ПРИВІТНЕ""",01.21 Вирощування винограду,зареєстровано
