f,iid,cd,dn,cs,dt
"false","0","31325005","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:22.1640000+03:00"
"false","0","20105250","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:22.4450000+03:00"
"false","0","24191973","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:22.7270000+03:00"
"true","0","32350021","Державне підприємство "ЖИЛКОМ"","кабінет не створено","2017-02-13T23:44:23.0230000+03:00"
"false","0","23642971","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:23.3360000+03:00"
"false","0","01886477","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:23.6320000+03:00"
"false","0","30838090","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:23.9140000+03:00"
"false","0","00693279","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:24.1950000+03:00"
"false","0","05246852","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:24.4930000+03:00"
"false","0","33769685","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:24.8510000+03:00"
"false","0","26046548","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:25.1480000+03:00"
"true","19666688","03564045","Державне міжрайонне підприємство водопровідно-каналізаційного господарства","зареєстровано","2017-02-13T23:44:25.4450000+03:00"
"false","0","31167287","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:25.8040000+03:00"
"true","125882036","00191017","ДЕРЖАВНЕ ПРОМИСЛОВЕ ПІДПРИЄМСТВО "КРИВБАСПРОМВОДОПОСТАЧАННЯ"","зареєстровано","2017-02-13T23:44:26.1170000+03:00"
"false","0","30600236","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:26.4140000+03:00"
"false","0","14313174","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:26.7110000+03:00"
"false","0","32703293","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:26.9920000+03:00"
"false","0","05513709","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:27.2730000+03:00"
"false","0","37794631","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:27.6010000+03:00"
"false","0","40167722","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:27.8820000+03:00"
"false","0","22171452","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:28.1790000+03:00"
"false","0","37182122","","Нажаль, Нічого не знайдено.","2017-02-13T23:44:28.4600000+03:00"
"true","0","24219849","Київська обласна державна організація "Київагроліс"","кабінет не створено","2017-02-13T23:44:28.7570000+03:00"
"true","0","31823389","Миронівське державне агролісогосподарське підприємство","кабінет не створено","2017-02-13T23:44:29.0540000+03:00"
"true","193639747","30477771","Обласний фонд підтримки індивідуального житлового будівництва на селі","зареєстровано","2017-02-13T23:44:29.3360000+03:00"
